realdonaldtrump,3333
foxnews,4560
cnn,1167
prisonplanet,1484
politico,1898
4mysquad,2927
i,41842
crystal1johnson,8216
abc,1083
rt_america,1078
jenn_abrams,12694
thehill,5043
blicqer,4440
chuckmodi1,2087
exen,1022
mariasharapova,1255
humoritarian,2038
intent,1590
safety,95816
djaytiger,1683
musicjunkypush,1758
makebeatsnow,1004
business,1186
blavity,2033
cherimusic,1887
yaboymiko,1249
powermusicteam,1604
xumlbelia,1046
jayceodpromoter,1673
trayneshacole,4742
gloed_up,3393
bleepthepolice,7622
blacktivists,1014
danageezus,3810
chrixmorgan,3375
giselleevns,1932
jstines3,1385
rt_com,3147
andyhashtagger,2728
booth_prince,1175
politweecs,2649
foxandfriends,1082
independent,6025
vallisitsa,3437
ten_gop,9085
2dopeboyz,1733
blacktolive,5821
phenomradio,1429
businessinsider,1723
blacknewsoutlet,2425
zaibatsunews,2313
chicagodailynew,21558
bestusatoday,1535
bfraser747,1163
warfareww,3049
helenmaryme,1080
thefoundingson,7055
caddeetrs,1127
gerfingerpoken,3563
pamela_moore13,5763
amymek,1001
tpartynews,1609
bizpacreview,3611
screamymonkey,2675
albuquerqueon,2811
beforeitsnews,1773
healthranger,1157
braveconwarrior,1018
pigeontoday,5324
phxken,1431
blackmattersus,3164
sportscenter,1167
atlanta_online,8425
jaredwyand,1324
baltimore0nline,10914
dailysandiego,6977
todayinsyria,14322
usa_gunslinger,2292
amberlinetr,1127
matevidence,1994
southlonestar,2601
philadelphiaon,12952
detroitdailynew,10784
worldnewspoli,30717
jeblary2016,1314
patriototus,1672
eissyt56t,13932
candeychaney,1019
aniiantrs,2099
aragartrr,1015
specialaffair,5484
todaymiami,7681
todaypittsburgh,3168
seattle_post,11776
todaycleveland,3187
richmondvoice,2209
dailylosangeles,13644
sanantotopnews,8593
screamin3,1706
stlouisonline,6785
thelmmisb,1095
todaybostonma,2568
todaycincinnati,9987
todaynycity,18462
washingtonline,6952
chaasntr,3626
williams8kalvin,1043
batonrougevoice,1787
certifiedhetero,2474
blacneighbor,1060
onlinecleveland,14479
neworleanson,7234
briigevastr,1427
briistatrrt,1448
brisstoflr,1585
broselifotr,2561
brristasi,1537
byers_way,1907
caadeenrrs,1159
caarmbutl,1659
camdencitynews,1340
cameericlaar,2562
cameliisrt,1584
candismbrr,1601
cariisncistr,2637
carlltheritr,1544
cqueenofcamelot,1018
ceciiistats,1585
celiissgons,1734
cellestins,1568
politicalhedge,1681
charmeestrs,1585
cheelsyjotrs,1593
chelssjohnt,1160
chirrismogui,2593
chirrmorre,1591
covfefenationus,4534
dailynewsdenver,3181
dailysanfran,20529
dallastopnews,8135
danisstrs,2416
darcyystr,2458
emmajackt,1096
elizeestr,2188
ellastrs,2530
elpasotopnews,4296
evannghartr,3635
lordjaheemathon,7778
houstontopnews,4439
ivaassntr,1100
jemishaaazzz,1007
johaajots,1091
kansasdailynews,27914
lawwaanctr,1153
marissprt,2658
mayluusstr,1023
missourinewsus,1137
newarkvoice,2788
oaklandonline,2217
onlinememphis,9347
pamelakealer13,1280
phoenixdailynew,8230
